ticker,strategy,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,completed_trades,win_rate_pct
AAPL,SMA,233.31,15.01,0.51,31.42,4.0,50.0
AAPL,RSI,208.24,13.97,0.5,30.2,10.0,100.0
AAPL,Buy & Hold,682.65,26.99,0.79,38.51,,
MSFT,SMA,270.63,16.42,0.61,28.04,4.0,50.0
MSFT,RSI,86.65,7.51,0.24,31.72,6.0,66.7
MSFT,Buy & Hold,515.05,23.47,0.71,37.15,,
JPM,SMA,180.96,12.75,0.45,43.61,3.0,66.7
JPM,RSI,22.27,2.36,0.0,38.74,6.0,66.7
JPM,Buy & Hold,310.99,17.84,0.56,43.62,,
XOM,SMA,196.77,13.47,0.5,30.23,4.0,25.0
XOM,RSI,91.7,7.85,0.25,57.91,8.0,87.5
XOM,Buy & Hold,187.32,13.04,0.41,60.98,,
KO,SMA,30.89,3.18,-0.01,36.98,6.0,33.3
KO,RSI,24.68,2.59,-0.08,35.69,7.0,71.4
KO,Buy & Hold,158.38,11.65,0.43,36.99,,
PFE,SMA,-28.49,-3.82,-0.41,42.55,8.0,25.0
PFE,RSI,27.5,2.86,0.01,45.26,9.0,77.8
PFE,Buy & Hold,20.61,2.2,0.03,58.96,,
CAT,SMA,81.97,7.2,0.22,51.42,7.0,28.6
CAT,RSI,173.18,12.38,0.43,34.25,11.0,100.0
CAT,Buy & Hold,522.15,23.65,0.68,43.36,,
DIS,SMA,-2.62,-0.31,-0.23,52.94,5.0,40.0
DIS,RSI,-19.85,-2.54,-0.15,53.33,7.0,42.9
DIS,Buy & Hold,1.8,0.21,0.01,60.69,,
NVDA,SMA,4165.88,54.63,1.16,37.55,2.0,100.0
NVDA,RSI,-12.75,-1.57,-0.09,60.79,4.0,50.0
NVDA,Buy & Hold,4305.1,55.21,1.04,66.33,,
